node,calib,xi,omega,alpha,nu,min,max
63,skewt,2.552712049,0.023969988,-10.69134178,9.346816108,NA,NA
64,skewt,0.767872733,0.08228061,-1.490740672,213.7195618,NA,NA
66,uniform,NA,NA,NA,NA,0.5,0.8
68,skewt,0.3373636,0.04297699,1.090001,98.26644,NA,NA
69,skewt,0.2351393,0.04685919,2.86952,20.53577,NA,NA
85,skewt,0.2006229,0.0439024,3.295211,73.91574,NA,NA
103,skewt,0.1692553,0.04031559,2.82081,58.53529,NA,NA
86,skewt,0.1691553,0.02792628,1.402429,14.89054,NA,NA
97,uniform,NA,NA,NA,NA,0.153,0.6
71,skewt,0.1784769,0.05006189,1.644768,58.08496,NA,NA